,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
359,Ust-Nera,64.5667,143.2,-2.18,81,38,1.16,RU,1613173505
360,Sorata,-15.7667,-68.6333,46.83,87,96,4.12,BO,1613173506
361,Manokwari,-0.8667,134.0833,81.73,76,100,5.79,ID,1613173242
362,Fasa,28.9383,53.6482,37.4,65,0,4.61,IR,1613173507
363,Bengbu,32.9408,117.3608,47.59,92,4,7.38,CN,1613173508
364,Pandan,14.0453,124.1694,78.08,86,99,11.34,PH,1613173508
365,Agirish,61.9247,63.0231,-10.46,91,100,2.95,RU,1613173509
366,Agua Dulce,18.1333,-94.1333,77.0,78,40,32.21,MX,1613173510
367,Carlos Chagas,-17.7031,-40.7664,72.64,84,32,6.44,BR,1613173510
368,Karpogory,64.0019,44.4451,-15.03,90,27,0.4,RU,1613173511
369,Luanda,-8.8368,13.2343,80.6,78,0,6.91,AO,1613173404
370,Kendari,-3.945,122.4989,78.26,89,100,3.94,ID,1613173511
371,Kruisfontein,-34.0033,24.7314,75.0,86,97,1.01,ZA,1613173040
372,Ferzikovo,54.5191,36.7567,6.8,78,100,15.66,RU,1613173512
373,Jalu,29.0331,21.5482,52.11,63,0,7.02,LY,1613173482
374,Vadodara,22.3,73.2,68.43,25,0,4.79,IN,1613173513
375,Kysyl-Syr,63.8986,122.7617,-13.72,88,100,6.04,RU,1613173513
376,Belz,47.6751,-3.168,32.67,64,89,1.01,FR,1613173513
377,Ürümqi,43.801,87.6005,17.6,86,75,4.47,CN,1613173292
378,Santa Rosa,14.3122,121.1114,75.24,83,75,5.75,PH,1613173514
379,Katakwi,1.8911,33.9661,74.8,48,75,4.18,UG,1613173514
380,Sehore,23.2,77.0833,60.91,31,0,7.56,IN,1613173514
381,Zhangye,38.9342,100.4517,35.73,68,19,8.32,CN,1613173515
382,Lodja,-3.4833,23.4333,71.31,90,43,0.45,CD,1613173515
383,Novo Aripuanã,-5.1206,-60.3797,76.01,96,80,2.64,BR,1613173516
384,Cidreira,-30.1811,-50.2056,75.56,81,99,14.67,BR,1613173148
385,Eureka,40.8021,-124.1637,51.48,96,100,5.01,US,1613173428
386,Fortuna,40.5982,-124.1573,52.05,100,90,3.89,US,1613173376
387,Constitución,-35.3333,-72.4167,60.28,87,28,10.49,CL,1613173516
388,Prabumulih,-3.45,104.25,73.89,97,89,2.64,ID,1613173446
389,Bitam,2.076,11.5007,71.04,93,57,3.85,GA,1613173279
390,Killarney,52.05,-9.5167,43.88,86,100,28.43,IE,1613173517
391,Sangre Grande,10.5835,-61.1177,78.37,78,40,6.91,TT,1613173517
392,Mtambile,-5.3833,39.7,79.47,79,51,8.37,TZ,1613173518
393,Barcelona,41.3888,2.159,52.65,94,40,2.3,ES,1613173352
394,Thinadhoo,0.5333,72.9333,82.42,67,23,10.51,MV,1613173518
395,Kenai,60.5544,-151.2583,28.78,59,1,13.8,US,1613173519
396,Santo Tomas,14.1079,121.1414,75.25,83,75,5.75,PH,1613173519
397,Igrim,63.1906,64.4162,-13.97,90,100,2.57,RU,1613173357
398,Bambous Virieux,-20.3428,57.7575,75.58,83,40,14.97,MU,1613173007
399,Cabra,37.4725,-4.4421,47.1,93,0,3.44,ES,1613173520
400,Boa Esperança,-21.09,-45.5658,68.83,90,100,2.3,BR,1613173521
401,Kiryat Gat,31.61,34.7642,51.22,100,1,1.95,IL,1613173267
402,Madarounfa,13.3087,7.156,70.86,19,0,10.0,NE,1613173521
403,Southampton,50.904,-1.4043,27.21,75,53,1.99,GB,1613173522
404,Canberra,-35.2835,149.1281,74.93,64,40,4.61,AU,1613173519
405,Mariehamn,60.0973,19.9348,30.2,74,0,13.8,AX,1613173523
406,Pauini,-7.7136,-66.9764,75.15,95,91,0.87,BR,1613173523
407,Taoudenni,22.6783,-3.9836,69.78,18,0,14.81,ML,1613173418
408,Erbil,36.1926,44.0106,50.0,71,0,3.44,IQ,1613173524
409,Buşayrā,30.7376,35.6078,45.77,90,18,3.8,JO,1613173524
410,Chico,39.7285,-121.8375,60.8,51,75,3.85,US,1613173413
411,Talaya,61.3833,152.75,-9.09,87,100,1.03,RU,1613173525
412,Valley City,46.9233,-98.0032,-13.0,64,1,8.05,US,1613173433
413,Warrnambool,-38.3833,142.4833,64.99,79,46,11.97,AU,1613173525
414,Lapovo,44.1842,21.0973,15.8,100,40,2.3,RS,1613173526
415,Dingle,10.9995,122.6711,79.21,84,70,4.09,PH,1613173409
416,Coquimbo,-29.9533,-71.3436,66.2,72,20,10.36,CL,1613173329
417,Bowen,-20.0167,148.2333,82.4,61,97,3.44,AU,1613173462
418,Kenora,49.8167,-94.4337,-16.29,52,75,4.61,CA,1613173527
419,Smidovich,48.6,133.8167,11.91,96,35,6.42,RU,1613173279
420,Saint-Leu,-21.15,55.2833,70.56,62,2,6.96,RE,1613173527
421,Harwich,51.9419,1.2844,30.02,54,77,14.0,GB,1613173527
422,Talnakh,69.4865,88.3972,-22.43,85,100,1.1,RU,1613173282
423,Inírida,3.8653,-67.9239,75.99,91,100,1.36,CO,1613173435
424,Vestmannaeyjar,63.4427,-20.2734,40.96,89,100,50.11,IS,1613173528
425,Steinbach am Taunus,50.1667,8.5667,18.81,68,0,11.5,DE,1613173529
426,North Myrtle Beach,33.816,-78.68,42.01,87,90,8.05,US,1613173529
427,Ostrovnoy,68.0531,39.5131,1.17,91,100,8.93,RU,1613173396
428,Belaya Gora,68.5333,146.4167,-27.45,77,17,2.51,RU,1613173241
429,Hirara,24.8,125.2833,68.74,88,40,13.8,JP,1613173529
430,Pangody,65.85,74.4859,-26.16,86,100,3.29,RU,1613173530
431,Keetmanshoop,-26.5833,18.1333,73.29,56,80,5.3,NA,1613173531
432,Kavaratti,10.5669,72.642,80.69,63,81,7.63,IN,1613173067
433,Torgau,51.5667,13.0,3.2,85,0,1.14,DE,1613173531
434,Hadejia,12.4498,10.0444,69.66,21,0,9.13,NG,1613173532
435,Noumea,-22.2763,166.4572,85.37,66,0,5.75,NC,1613173344
436,Koygorodok,60.445,50.9968,-5.67,91,100,5.75,RU,1613173532
437,Ilām,26.9167,87.9167,52.7,69,0,3.87,NP,1613173504
438,Ambon City,-3.6954,128.1814,75.2,88,40,14.97,ID,1613173265
439,Mineiros,-17.5694,-52.5511,68.86,94,100,3.94,BR,1613173533
440,Gizo Government Station,-8.103,156.8419,82.63,75,97,9.37,SB,1613173533
441,Gibsons,49.3997,-123.5027,31.19,34,100,1.14,CA,1613173275
442,Kogon,39.7228,64.5517,44.6,81,0,6.91,UZ,1613173465
443,Ostashkov,57.1467,33.1075,4.33,88,100,14.92,RU,1613173534
444,San Miguel de Tucumán,-26.8241,-65.2226,77.0,78,40,5.75,AR,1613173534
445,Asău,46.4333,26.4,16.0,45,7,7.74,RO,1613173535
446,Neiafu,-18.65,-173.9833,82.4,78,75,6.91,TO,1613173535
447,Doha,25.2867,51.5333,62.98,77,0,8.05,QA,1613173379
448,Belen,36.4891,36.2233,53.6,71,40,2.3,TR,1613173536
449,Hobyo,5.3505,48.5268,75.02,77,98,15.77,SO,1613173476
450,Talara,-4.5772,-81.2719,75.29,82,21,13.31,PE,1613173428
451,Paamiut,61.994,-49.6678,23.86,92,86,19.53,GL,1613173436
452,Baraki Barak,33.9675,68.9486,38.66,60,93,0.11,AF,1613173537
453,Vuktyl,63.8567,57.3094,-13.32,88,100,4.18,RU,1613173317
454,Castrillón,43.3979,-6.7922,47.03,93,0,4.61,ES,1613173537
455,Dolores,-36.3132,-57.6792,66.83,93,98,7.2,AR,1613173537
456,Wilmington,34.2257,-77.9447,42.58,87,90,10.36,US,1613173502
457,Teguise,29.0605,-13.564,64.4,77,20,16.11,ES,1613173538
458,Poso,-1.3959,120.7524,79.77,79,97,2.62,ID,1613173539
459,Shaoyang,27.2315,111.4525,51.46,86,0,0.65,CN,1613173539
460,Gaza,31.5,34.4667,51.03,100,0,2.24,PS,1613173540
461,Prince Rupert,54.3161,-130.3201,33.8,25,1,18.41,CA,1613173398
462,Mazagão,-0.115,-51.2894,78.8,94,75,6.91,BR,1613173540
463,Boizenburg,53.3833,10.7167,10.49,88,0,1.01,DE,1613173541
464,Krasnosel'kup,65.7,82.4667,-35.03,83,3,4.65,RU,1613173415
465,Namatanai,-3.6667,152.4333,85.96,66,57,4.18,PG,1613173541
466,Santa Ana,33.7456,-117.8678,66.54,42,20,5.75,US,1613173314
467,Southbridge,42.0751,-72.0334,22.5,26,75,1.16,US,1613173541
468,Leh,34.1667,77.5833,7.74,55,17,1.61,IN,1613173542
469,Paphos,34.7667,32.4167,50.14,82,40,8.05,CY,1613173543
470,Port-Gentil,-0.7193,8.7815,84.2,84,40,10.36,GA,1613173143
471,Baloda Bāzār,21.6667,82.1667,59.65,41,32,2.91,IN,1613173543
472,Hambantota,6.1241,81.1185,73.4,85,45,4.85,LK,1613173306
473,Voh,-20.9667,164.7,86.95,57,0,2.21,NC,1613173544
474,Rincon,32.296,-81.2354,48.24,87,90,9.22,US,1613173358
475,Nanortalik,60.1432,-45.2371,32.83,87,99,9.84,GL,1613173348
476,Marystown,47.1666,-55.1483,29.55,93,83,21.23,CA,1613173421
477,George,-33.963,22.4617,69.8,100,90,6.91,ZA,1613173545
478,Kerrville,30.0474,-99.1403,28.11,93,90,4.61,US,1613173546
479,Khovd,48.0056,91.6419,3.7,90,4,1.14,MN,1613173277
480,Leningradskiy,69.3833,178.4167,-18.8,83,98,7.72,RU,1613173346
481,Bata,1.8639,9.7658,80.6,100,40,5.19,GQ,1613173547
482,Erenhot,43.6475,111.9767,7.05,88,0,5.99,CN,1613173361
483,Hwange,-18.3693,26.5019,69.58,92,100,2.01,ZW,1613173547
484,Petropavlovsk-Kamchatskiy,53.0452,158.6483,10.4,67,75,11.18,RU,1613173547
485,Barič,44.6522,20.2594,18.46,79,0,8.05,RS,1613173548
486,Daru,-9.0763,143.2092,81.64,84,88,8.32,PG,1613173548
487,Oruzgan,32.8333,66.0,43.72,50,31,2.15,AF,1613173549
488,Buctzotz,21.2,-88.7833,82.81,54,65,9.31,MX,1613173549
489,Araouane,18.9048,-3.5265,75.06,15,25,9.78,ML,1613173549
490,Dawei,14.0833,98.2,66.76,74,0,2.86,MM,1613173550
491,Farnes,61.3167,7.8,3.0,50,0,1.61,NO,1613173550
492,Tilichiki,60.4667,166.1,-13.99,84,0,13.71,RU,1613173294
493,Adelaide,-34.9333,138.6,67.84,77,75,5.75,AU,1613173279
494,Ballina,-28.8667,153.5667,80.1,65,94,6.91,AU,1613173312
495,Mahibadhoo,3.7833,72.9667,80.42,76,97,11.07,MV,1613173551
496,Mount Gambier,-37.8333,140.7667,59.0,88,90,10.36,AU,1613173410
497,Willowmore,-33.2926,23.4895,73.42,68,90,3.71,ZA,1613173552
498,Alindao,5.0267,21.2088,71.87,22,21,3.11,CF,1613173552
499,Fairfield,41.2668,-73.3162,26.02,33,90,4.61,US,1613173405
500,Fairbanks,64.8378,-147.7164,6.33,71,1,0.54,US,1613173081
501,Waddān,29.1614,16.139,55.94,39,0,7.76,LY,1613173307
502,Gazli,40.1333,63.45,46.2,76,6,6.33,UZ,1613173553
503,Ukiah,39.1502,-123.2078,53.87,71,75,9.22,US,1613173553
504,Hanzhong,33.0728,107.0303,50.36,70,100,11.18,CN,1613173554
505,Tianpeng,30.9866,103.9393,57.0,1,98,6.78,CN,1613173555
506,Superior,46.7208,-92.1041,-7.62,45,1,3.44,US,1613173555
507,Oktyabr'skiy,54.4815,53.471,34.03,91,100,11.5,RU,1613173555
508,Boralday,43.3578,76.8594,30.2,100,90,4.12,KZ,1613173556
509,Yaan,7.3833,8.5667,80.51,15,74,2.17,NG,1613173557
510,Jining,35.405,116.5814,46.15,92,0,9.31,CN,1613173557
511,Aitape,-3.1374,142.3475,76.62,91,97,9.04,PG,1613173557
512,Tura,25.5198,90.2201,60.4,54,0,2.62,IN,1613173427
513,Barceloneta,18.4505,-66.5385,70.65,91,30,1.01,PR,1613173558
514,Esso,55.9333,158.7,8.67,77,0,0.81,RU,1613173558
515,Babu,24.4167,111.5167,54.66,77,0,1.88,CN,1613173559
516,Stratford-upon-Avon,52.1917,-1.7073,26.26,77,19,5.01,GB,1613173559
517,Manicoré,-5.8092,-61.3003,76.32,94,95,0.54,BR,1613173559
518,Grand Gaube,-20.0064,57.6608,73.99,82,13,5.01,MU,1613173560
519,Santa Lucía,27.9117,-15.5407,64.13,77,40,18.41,ES,1613173492
520,Huitziltepec,17.8167,-99.4667,82.99,18,15,3.0,MX,1613173561
521,Clyde River,70.4692,-68.5914,-2.2,84,75,20.71,CA,1613173509
522,Maumere,-8.6199,122.2111,80.8,80,98,5.97,ID,1613173561
523,Ndendé,-2.4008,11.3581,73.98,95,100,1.16,GA,1613173561
524,Kawalu,-7.3817,108.2082,74.39,87,99,0.38,ID,1613173432
525,Kroya,-7.6331,109.2461,78.08,85,99,0.94,ID,1613173562
526,Cabedelo,-6.9811,-34.8339,77.0,94,90,11.5,BR,1613173562
527,Léo,11.1,-2.1,77.72,16,0,7.07,BF,1613173562
528,Todos Santos,23.45,-110.2167,68.05,72,1,4.0,MX,1613173563
529,Srednekolymsk,67.45,153.6833,-25.4,83,0,5.97,RU,1613173303
530,Bandarbeyla,9.4942,50.8122,72.23,75,96,11.32,SO,1613173454
531,Onda,39.9667,-0.25,55.04,66,0,5.75,ES,1613173563
532,Zhaotong,27.3167,103.7167,43.65,85,87,3.69,CN,1613173564
533,Vazhiny,60.9644,34.0222,-10.16,90,2,1.03,RU,1613173564
534,Hayvoron,48.3396,29.8679,9.41,92,100,16.46,UA,1613173565
535,Puerto Escondido,15.85,-97.0667,82.4,83,75,5.75,MX,1613173359
536,Kismayo,-0.3582,42.5454,76.64,84,88,14.74,SO,1613173566
537,Taksimo,56.3444,114.8794,-8.55,82,100,4.56,RU,1613173566
538,Santiago de Cao,-7.9589,-79.2392,73.4,83,96,11.5,PE,1613173566
539,Faya,18.3851,42.4509,57.18,58,0,3.27,SA,1613173400
540,Porto Seguro,-16.4497,-39.0647,78.8,73,20,9.22,BR,1613173566
541,Faro,37.0194,-7.9322,53.6,87,0,6.91,PT,1613173567
542,Port Macquarie,-31.4333,152.9167,74.44,100,40,5.75,AU,1613173257
543,Inyonga,-6.7167,32.0667,63.86,93,95,2.3,TZ,1613173567
544,Diu,20.7141,70.9822,68.65,42,1,7.67,IN,1613173567
545,High Level,58.5169,-117.136,-5.8,77,90,3.44,CA,1613173568
546,Ban Tak,17.0432,99.0813,60.8,88,20,2.59,TH,1613173568
547,Havre-St-Pierre,50.2334,-63.5986,21.2,63,90,11.5,CA,1613173266
548,Quryq,43.2,51.65,49.1,69,0,25.64,KZ,1613173411
549,Rantepao,-2.9701,119.8978,72.34,84,100,1.83,ID,1613173568
550,Ugoofaaru,5.6667,73.0,80.11,66,97,10.16,MV,1613173295
551,Bhinga,27.7167,81.9333,53.58,59,0,2.68,IN,1613173568
552,Cherskiy,68.75,161.3,-22.77,80,0,2.13,RU,1613173310
553,Balyqshy,47.0667,51.8667,35.6,60,0,22.37,KZ,1613173569
554,Ngunguru,-35.6167,174.5,75.99,51,1,7.0,NZ,1613173210
555,Abu Samrah,35.3029,37.1841,48.52,81,0,4.43,SY,1613173493
556,Acaraú,-2.8856,-40.12,80.22,81,67,13.22,BR,1613173569
557,Ende,-8.8432,121.6623,81.14,74,99,3.04,ID,1613173570
558,Nouakchott,18.0858,-15.9785,69.8,13,0,11.5,MR,1613173413
559,Alice Springs,-23.7,133.8833,66.2,100,90,11.5,AU,1613173458
560,Aykhal,66.0,111.5,-22.11,78,93,3.09,RU,1613173570
561,Kempele,64.9131,25.5034,19.81,86,0,8.05,FI,1613173570
562,Port Lincoln,-34.7333,135.8667,66.25,64,5,7.56,AU,1613173221
563,Sanmenxia,34.7747,111.1814,48.99,68,100,5.5,CN,1613173571
564,Izhma,65.0083,53.9113,-8.95,90,100,2.93,RU,1613173571
565,São Miguel do Araguaia,-13.275,-50.1628,72.18,97,100,7.65,BR,1613173571
566,Sorgun,39.8101,35.186,32.63,90,32,6.58,TR,1613173572
567,Atar,20.5169,-13.0499,65.19,22,0,9.28,MR,1613173291
568,Pangnirtung,66.1451,-65.7125,-7.6,77,20,1.54,CA,1613173378
569,Prince George,53.9166,-122.753,0.23,60,1,5.75,CA,1613173572
570,Kamenka,51.3223,42.7678,35.42,99,97,16.17,RU,1613173446
571,Rørvik,64.8621,11.2373,38.7,74,100,30.49,NO,1613173573
572,Orán,-23.1322,-64.326,79.0,75,92,1.99,AR,1613173573
573,Tezu,27.9167,96.1667,60.96,31,38,3.96,IN,1613173573
574,Urengoy,65.9667,78.3667,-31.86,83,100,3.85,RU,1613173573
575,Jadu,31.953,12.0261,53.55,49,0,12.77,LY,1613173574
576,Yurovka,45.1147,37.4188,26.31,68,82,15.66,RU,1613173574
577,Tepalcatepec,19.1833,-102.85,84.31,15,8,5.73,MX,1613173574
578,Suntar,62.1444,117.6319,-12.78,87,100,5.28,RU,1613173297
579,Penzance,50.1186,-5.5371,39.06,75,90,28.77,GB,1613173574
580,Virginia Beach,36.8529,-75.978,37.24,75,90,13.8,US,1613173034
581,Astara,38.5,48.6667,48.2,87,90,6.08,AZ,1613173575
582,Mayskiy,47.6931,40.1025,23.0,74,75,20.13,RU,1613173575
583,Kiama,-34.6833,150.8667,67.17,96,100,1.01,AU,1613173575
584,Esim,4.8699,-2.2405,81.14,85,5,9.24,GH,1613173416
585,Wajir,1.7471,40.0573,76.87,64,15,16.04,KE,1613173576
586,Palora,-1.7,-77.9333,71.6,83,40,2.3,EC,1613173576
587,Pakenham,-38.0667,145.4833,64.42,78,36,5.01,AU,1613173576
588,Alamor,-4.0181,-80.0197,82.4,74,90,3.44,EC,1613173308
589,Bor,56.3567,44.0669,8.31,85,90,11.18,RU,1613173576
590,Jega,12.2175,4.3792,75.04,17,0,9.98,NG,1613173461
